tick,population,mean_h,median_h,births_interval,deaths_starvation_interval,deaths_collision_interval,food_count,kl_divergence
0,50,5.0000,5.0,0,0,0,400,0.003420
100,33,5.4242,5.0,93,0,110,863,0.108748
200,45,5.6000,5.0,208,0,196,879,0.248181
300,43,5.7907,6.0,217,0,219,915,0.404932
400,46,5.6522,5.0,224,0,221,917,0.464099
500,31,5.5484,5.0,202,0,217,940,0.558263
600,43,5.7209,5.0,214,0,202,937,0.492749
700,49,5.5714,5.0,220,0,214,887,0.484942
800,42,5.6667,6.0,195,0,202,912,0.513256
900,49,5.7551,6.0,214,0,207,913,0.458747
1000,48,5.7083,6.0,208,0,209,923,0.482525
1100,49,5.5510,6.0,210,0,209,881,0.456183
1200,64,5.5000,5.0,217,0,202,846,0.402684
1300,55,5.6000,6.0,185,0,194,879,0.451134
1400,56,5.0536,5.0,205,0,204,839,0.432835
1500,61,5.5902,6.0,195,0,190,825,0.391775
1600,59,5.1695,5.0,172,0,174,878,0.429177
1700,50,5.4800,5.0,173,0,182,888,0.464942
1800,47,5.4043,5.0,182,0,185,952,0.512308
1900,45,5.7111,6.0,205,0,207,923,0.486706
2000,50,5.4600,5.0,203,0,198,861,0.454925
2100,48,5.6667,6.0,186,0,188,904,0.420936
2200,50,5.6400,6.0,179,0,177,913,0.453851
2300,63,5.3333,5.0,182,0,169,841,0.362582
2400,47,5.7234,6.0,157,0,173,941,0.414106
2500,38,5.6316,6.0,173,0,182,964,0.441936
2600,46,5.4565,5.0,136,0,128,948,0.463368
2700,55,5.7455,6.0,185,0,176,934,0.435161
2800,55,5.6182,6.0,158,0,158,922,0.402895
2900,46,5.5870,5.5,154,0,163,939,0.411315
3000,67,5.7761,6.0,190,0,169,911,0.385103
3100,59,5.7458,6.0,171,0,179,899,0.317382
3200,51,5.4510,5.0,174,0,182,907,0.412828
3300,60,5.7333,6.0,178,0,169,922,0.387305
3400,63,5.6984,6.0,166,0,163,902,0.327225
3500,63,5.5238,5.0,157,0,157,894,0.319480
3600,62,5.9032,6.0,159,0,160,904,0.349579
3700,66,5.5909,5.5,162,0,158,881,0.420832
3800,56,5.3929,5.0,183,0,193,805,0.399136
3900,58,5.8276,6.0,170,0,168,825,0.384433
4000,65,5.3385,5.0,179,0,172,832,0.402929
4100,68,5.3235,5.0,178,0,175,818,0.397910
4200,61,5.5410,5.0,179,1,185,812,0.354283
4300,55,5.7091,6.0,166,0,172,792,0.349740
4400,56,5.2321,5.0,163,0,162,840,0.373949
4500,66,5.4091,5.0,188,0,178,831,0.325518
4600,60,5.2167,5.0,173,0,179,868,0.330202
4700,54,5.4630,5.0,183,0,189,863,0.369498
4800,47,5.4043,5.0,172,0,179,945,0.430025
4900,70,5.4286,5.0,199,0,176,872,0.445344
5000,59,5.1525,5.0,180,0,191,870,0.424586
5100,53,5.0943,5.0,169,0,175,922,0.404173
5200,65,5.0000,5.0,182,0,170,860,0.373733
5300,74,4.8784,5.0,171,0,162,836,0.344387
5400,77,5.1818,5.0,166,0,163,837,0.327554
5500,53,5.2264,5.0,152,0,176,865,0.360856
5600,46,5.1304,5.0,172,0,179,881,0.381860
5700,52,5.3077,5.0,203,0,197,912,0.376767
5800,48,5.5208,5.0,192,1,195,897,0.387561
5900,46,4.9565,5.0,204,0,206,878,0.400765
6000,42,5.4286,5.0,198,0,202,928,0.472863
6100,40,5.5250,6.0,216,0,218,929,0.611619
6200,47,5.5319,6.0,212,0,205,871,0.583526
6300,50,5.6600,6.0,190,0,187,888,0.521902
6400,58,5.4483,5.0,193,0,185,881,0.502480
6500,49,5.3673,5.0,191,0,200,887,0.459504
6600,49,5.6735,6.0,175,0,175,914,0.428423
6700,69,5.5652,6.0,193,0,173,847,0.400689
6800,57,5.2105,6.0,167,0,179,861,0.365178
6900,61,5.7213,6.0,168,0,164,874,0.386451
7000,58,5.6552,6.0,178,0,181,874,0.451939
7100,65,5.2308,5.0,191,0,184,848,0.436194
7200,71,5.6761,6.0,169,0,163,845,0.434185
7300,44,5.2955,5.0,160,0,187,908,0.511284
7400,52,5.2115,5.0,192,0,184,870,0.423263
7500,58,5.5690,6.0,177,0,171,882,0.428302
7600,60,5.3500,5.0,182,0,180,881,0.400246
7700,59,5.1525,5.0,178,0,179,865,0.368389
7800,70,5.5857,6.0,166,0,155,878,0.392649
7900,58,5.3621,5.0,169,0,181,900,0.416405
8000,64,5.0938,5.0,186,0,180,863,0.373656
8100,65,5.2769,5.0,184,0,183,875,0.378080
8200,57,5.3684,5.0,174,0,182,886,0.347008
8300,67,5.1791,5.0,178,0,168,860,0.320898
8400,79,5.3924,5.0,180,0,168,820,0.342703
8500,75,5.1867,5.0,155,0,159,843,0.326862
8600,69,5.0435,5.0,161,0,167,844,0.391792
8700,78,5.2821,5.0,182,0,173,825,0.332348
8800,77,5.2078,5.0,159,0,160,813,0.347131
8900,71,4.9296,5.0,164,2,168,794,0.391501
9000,77,5.0779,5.0,150,0,144,817,0.367623
9100,65,5.3077,5.0,133,1,144,835,0.356878
9200,83,5.0241,5.0,182,0,164,772,0.382249
9300,68,5.1912,5.0,155,0,170,830,0.349627
9400,81,5.1728,5.0,158,1,144,796,0.334195
9500,80,4.7875,5.0,169,0,170,755,0.324925
9600,67,5.2836,5.0,153,1,165,782,0.353008
9700,82,5.3537,5.0,159,1,143,789,0.379384
9800,66,5.1061,5.0,152,0,168,799,0.346224
9900,78,5.5128,5.0,161,0,149,806,0.351012
10000,68,5.5735,5.5,151,0,161,822,0.329890
10100,70,4.9714,5.0,171,0,169,801,0.293657
10200,71,5.7183,6.0,145,0,144,817,0.306372
10300,62,5.5645,5.0,169,0,178,840,0.414674
10400,69,5.3333,5.0,188,0,181,771,0.371036
10500,61,5.7869,6.0,148,0,156,864,0.371793
10600,74,5.5270,5.0,193,0,180,782,0.304812
10700,59,5.1695,5.0,147,0,162,816,0.388304
10800,57,5.9298,6.0,157,1,158,876,0.499904
10900,65,5.3692,5.0,178,0,170,825,0.464181
11000,63,5.4921,5.0,164,0,166,808,0.390229
11100,54,5.7593,6.0,160,0,169,879,0.403514
11200,75,5.2533,5.0,203,0,182,821,0.393842
11300,75,5.1067,5.0,182,0,182,745,0.358284
11400,74,5.2568,5.0,160,0,161,767,0.354016
11500,84,5.2262,5.0,168,1,157,722,0.315946
11600,60,4.9167,5.0,145,1,168,770,0.317865
11700,76,5.3684,5.0,173,1,156,763,0.360966
11800,56,5.5357,6.0,146,2,164,833,0.289455
11900,58,5.3966,5.0,171,0,169,852,0.383753
12000,55,5.4909,6.0,186,0,189,868,0.361033
12100,44,5.8636,6.0,180,0,191,907,0.351667
12200,48,5.7083,6.0,196,0,192,910,0.384739
12300,71,5.6620,6.0,207,0,184,862,0.436811
12400,53,5.6981,6.0,171,0,189,889,0.357110
12500,63,5.4286,5.0,192,0,182,850,0.366042
12600,59,5.9153,6.0,174,0,178,857,0.376309
12700,61,5.7705,6.0,174,0,172,867,0.380270
12800,55,5.6545,6.0,173,0,179,872,0.392201
12900,58,5.9483,6.0,180,0,177,892,0.442940
13000,62,5.7581,6.0,176,0,172,853,0.417796
13100,81,5.1235,5.0,169,0,150,782,0.337258
13200,67,5.5821,5.0,158,1,171,835,0.369850
13300,65,5.4462,5.0,167,0,169,848,0.390599
13400,61,5.4590,6.0,175,0,179,820,0.363729
13500,81,5.6914,6.0,193,0,173,782,0.374937
13600,76,5.2237,5.0,159,0,164,781,0.423203
13700,80,5.0500,5.0,155,1,150,771,0.387870
13800,86,5.3488,5.0,173,0,167,718,0.335830
13900,75,5.1867,5.0,138,1,148,776,0.316047
14000,65,5.0000,5.0,160,1,169,784,0.382292
14100,59,5.6271,6.0,159,1,164,836,0.375312
14200,69,5.3188,5.0,189,0,179,790,0.363374
14300,65,5.3231,5.0,162,0,166,834,0.363585
14400,54,6.0556,6.0,168,0,179,884,0.473761
14500,75,5.6533,6.0,194,0,173,811,0.403229
14600,72,5.3333,5.0,172,0,175,817,0.351820
14700,82,5.6951,6.0,176,0,166,784,0.316545
14800,81,5.4938,6.0,161,1,161,759,0.287349
14900,74,5.3514,6.0,144,1,150,773,0.277070
15000,75,5.6267,6.0,159,1,157,813,0.314412
15100,61,5.5082,6.0,163,1,176,787,0.288863
15200,74,5.3108,5.5,168,3,152,761,0.311979
15300,78,5.7436,6.0,144,0,140,818,0.316313
15400,73,5.4247,6.0,156,0,161,825,0.317061
15500,66,5.5909,6.0,153,0,160,829,0.305978
15600,67,5.7164,6.0,166,0,165,871,0.317061
15700,72,5.6111,6.0,170,0,165,822,0.357508
15800,74,5.5270,6.0,167,0,165,774,0.318119
15900,83,5.5663,6.0,154,0,145,789,0.359897
16000,83,5.5060,6.0,147,0,147,776,0.372558
16100,85,5.4000,6.0,167,0,165,697,0.359281
